accession,type,variant,isoform,protein_len,taxonomy id,organism,vgnc_id,hgnc_id,ncbi_id,ensembl_gene_id,species_name,order
NP_003508.1,H2A,cH2A.9_(Homo_sapiens),,129,9606,Homo sapiens,,HGNC:4738,8338,,Homo sapiens,Primates
XP_011215280.1,H2A,cH2A_(Mammalia),,130,9646,Ailuropoda melanoleuca,,,,,Ailuropoda melanoleuca,Carnivora
NP_001192525.1,H2A,cH2A_(Mammalia),,130,9913,Bos taurus,,,506900,ENSBTAG00070005783,Bos taurus,Artiodactyla
XP_008992112.1,H2A,cH2A_(Mammalia),,131,9483,Callithrix jacchus,,,,,Callithrix jacchus,Primates
XP_005640150.1,H2A,cH2A_(Mammalia),,130,9615,Canis lupus familiaris,,,488268,ENSCAFG00845025853,Canis lupus familiaris,Carnivora
XP_003478913.1,H2A,cH2A_(Mammalia),,130,10141,Cavia porcellus,,,100713054,ENSCPOG00000034514,Cavia porcellus,Rodentia
XP_007634672.1,H2A,cH2A_(Mammalia),,130,10029,Cricetulus griseus,,,,,Cricetulus griseus,Rodentia
XP_004847876.1,H2A,cH2A_(Mammalia),,130,10181,Heterocephalus glaber,,,101713332,ENSHGLG00000020875,Heterocephalus glaber,Rodentia
XP_003422330.1,H2A,cH2A_(Mammalia),,130,9785,Loxodonta africana,,,,,Loxodonta africana,Proboscidea
NP_001180653.1,H2A,cH2A_(Mammalia),,130,9544,Macaca mulatta,,,695551,,Macaca mulatta,Primates
NP_835489.1,H2A,cH2A_(Mammalia),,130,10090,Mus musculus,,,319191,ENSMUSG00000071516,Mus musculus,Rodentia
XP_004088806.1,H2A,cH2A_(Mammalia),,130,61853,Nomascus leucogenys,,,,,Nomascus leucogenys,Primates
XP_008246690.1,H2A,cH2A_(Mammalia),,130,9986,Oryctolagus cuniculus,,,103345138,,Oryctolagus cuniculus,Lagomorpha
XP_009448979.1,H2A,cH2A_(Mammalia),,131,9598,Pan troglodytes,,,,,Pan troglodytes,Primates
NP_068612.2,H2A,cH2A_(Mammalia),,130,10116,Rattus norvegicus,,,64646,ENSRNOG00000064520,Rattus norvegicus,Rodentia
XP_003356618.1,H2A,cH2A_(Mammalia),,130,9823,Sus scrofa,,,100622387,ENSSSCG00000046222,Sus scrofa,Artiodactyla
NP_613075.1,H2A,macroH2A.1.s1_(Homo_sapiens),,369,9606,Homo sapiens,,HGNC:4740,9555,,Homo sapiens,Primates
NP_001035248.1,H2A,macroH2A.1.s2_(Homo_sapiens),,371,9606,Homo sapiens,,HGNC:4740,9555,,Homo sapiens,Primates
NP_613258.2,H2A,macroH2A.1.s2_(Homo_sapiens),,372,9606,Homo sapiens,,HGNC:4740,9555,,Homo sapiens,Primates
NP_061119.1,H2A,macroH2A.2_(Homo_sapiens),,372,9606,Homo sapiens,,HGNC:14453,55506,,Homo sapiens,Primates
NP_001017990.1,H2A,H2A.B.1_(Homo_sapiens),,115,9606,Homo sapiens,,HGNC:22516,474382,,Homo sapiens,Primates
NP_001268460.1,H2A,H2A.B.1_(Mus_musculus),,115,10090,Mus musculus,,,624957,ENSMUSG00000083616,Mus musculus,Rodentia
NP_001017991.1,H2A,H2A.B.2_(Homo_sapiens),,115,9606,Homo sapiens,,HGNC:18298,474381,,Homo sapiens,Primates
NP_542451.1,H2A,H2A.B.2_(Homo_sapiens),,115,9606,Homo sapiens,,HGNC:14455,83740,,Homo sapiens,Primates
NP_001268459.1,H2A,H2A.B.2_(Mus_musculus),,115,10090,Mus musculus,,,624153,ENSMUSG00000082482,Mus musculus,Rodentia
NP_001096135.1,H2A,H2A.B.3_(Mus_musculus),,115,10090,Mus musculus,,,100039319,ENSMUSG00000067441,Mus musculus,Rodentia
XP_011215272.1,H2A,H2A.B_(Eutheria),,113,9646,Ailuropoda melanoleuca,,,100484819,ENSAMEG00000028929,Ailuropoda melanoleuca,Carnivora
NP_001069373.1,H2A,H2A.B_(Eutheria),,109,9913,Bos taurus,,,528006,ENSBTAG00070035097,Bos taurus,Artiodactyla
XP_002763866.2,H2A,H2A.B_(Eutheria),,115,9483,Callithrix jacchus,,,,,Callithrix jacchus,Primates
XP_003514308.1,H2A,H2A.B_(Eutheria),,119,10029,Cricetulus griseus,,,100764913,ENSCGRG00015020193,Cricetulus griseus,Rodentia
XP_003515491.1,H2A,H2A.B_(Eutheria),,119,10029,Cricetulus griseus,,,100763078,ENSCGRG00015032712,Cricetulus griseus,Rodentia
EHB05905.1,H2A,H2A.B_(Eutheria),,107,10181,Heterocephalus glaber,,,,,Heterocephalus glaber,Rodentia
XP_003421752.1,H2A,H2A.B_(Eutheria),,125,9785,Loxodonta africana,,,100670474,ENSLAFG00000039377,Loxodonta africana,Proboscidea
NP_001180843.1,H2A,H2A.B_(Eutheria),,115,9544,Macaca mulatta,,,703044,ENSMMUG00000059127,Macaca mulatta,Primates
XP_003282204.1,H2A,H2A.B_(Eutheria),,115,61853,Nomascus leucogenys,,,100595043,ENSNLEG00000038558,Nomascus leucogenys,Primates
XP_001145032.1,H2A,H2A.B_(Eutheria),,115,9598,Pan troglodytes,,,,,Pan troglodytes,Primates
XP_003135571.1,H2A,H2A.B_(Eutheria),,113,9823,Sus scrofa,,,,,Sus scrofa,Artiodactyla
NP_083864.1,H2A,H2A.L.1_(Mus_musculus),,105,10090,Mus musculus,,,76383,ENSMUSG00000100200,Mus musculus,Rodentia
NP_080903.1,H2A,H2A.L.2_(Mus_musculus),,111,10090,Mus musculus,,,68231,ENSMUSG00000062651,Mus musculus,Rodentia
Q9D4U4,H2A,H2A.L.3_(Mus_musculus),,128,10090,Mus musculus,,,,,Mus musculus,Rodentia
XP_002927211.2,H2A,H2A.L_(Eutheria),,117,9646,Ailuropoda melanoleuca,,,100467516,ENSAMEG00000019676,Ailuropoda melanoleuca,Carnivora
NP_001071426.1,H2A,H2A.L_(Eutheria),,117,9913,Bos taurus,,,523631,ENSBTAG00070035166,Bos taurus,Artiodactyla
XP_875023.2,H2A,H2A.L_(Eutheria),,117,9913,Bos taurus,,,,,Bos taurus,Artiodactyla
XP_548938.1,H2A,H2A.L_(Eutheria),,128,9615,Canis lupus familiaris,,,491818,,Canis lupus familiaris,Carnivora
XP_548947.1,H2A,H2A.L_(Eutheria),,128,9615,Canis lupus familiaris,,,491827,,Canis lupus familiaris,Carnivora
XP_003469395.1,H2A,H2A.L_(Eutheria),,116,10141,Cavia porcellus,,,100722162,,Cavia porcellus,Rodentia
XP_003469399.1,H2A,H2A.L_(Eutheria),,117,10141,Cavia porcellus,,,100724929,ENSCPOG00000006352,Cavia porcellus,Rodentia
XP_003508207.1,H2A,H2A.L_(Eutheria),,109,10029,Cricetulus griseus,,,100762832,ENSCGRG00015006278,Cricetulus griseus,Rodentia
EHB04253.1,H2A,H2A.L_(Eutheria),,143,10181,Heterocephalus glaber,,,,,Heterocephalus glaber,Rodentia
EHB10563.1,H2A,H2A.L_(Eutheria),,117,10181,Heterocephalus glaber,,,101710567,ENSHGLG00000021333,Heterocephalus glaber,Rodentia
EHB17227.1,H2A,H2A.L_(Eutheria),,185,10181,Heterocephalus glaber,,,,,Heterocephalus glaber,Rodentia
XP_002719866.1,H2A,H2A.L_(Eutheria),,118,9986,Oryctolagus cuniculus,,,100357425,ENSOCUG00000031664,Oryctolagus cuniculus,Lagomorpha
XP_002720052.1,H2A,H2A.L_(Eutheria),,118,9986,Oryctolagus cuniculus,,,100338182,ENSOCUG00000035605,Oryctolagus cuniculus,Lagomorpha
XP_003360303.2,H2A,H2A.L_(Eutheria),,122,9823,Sus scrofa,,,100520991,ENSSSCG00000055323,Sus scrofa,Artiodactyla
XP_003484147.1,H2A,H2A.L_(Eutheria),,127,9823,Sus scrofa,,,100736633,,Sus scrofa,Artiodactyla
XP_002913536.1,H2A,H2A.P_(Eutheria),,113,9646,Ailuropoda melanoleuca,,,100471991,,Ailuropoda melanoleuca,Carnivora
XP_005641297.1,H2A,H2A.P_(Eutheria),,121,9615,Canis lupus familiaris,,,100688661,,Canis lupus familiaris,Carnivora
XP_003508203.1,H2A,H2A.P_(Eutheria),,117,10029,Cricetulus griseus,,,100761382,ENSCGRG00015006285,Cricetulus griseus,Rodentia
EHB10562.1,H2A,H2A.P_(Eutheria),,116,10181,Heterocephalus glaber,,,,,Heterocephalus glaber,Rodentia
EHH30639.1,H2A,H2A.P_(Eutheria),,117,9544,Macaca mulatta,,,697665,,Macaca mulatta,Primates
XP_003317470.2,H2A,H2A.P_(Eutheria),,117,9598,Pan troglodytes,,,738500,ENSPTRG00045048981,Pan troglodytes,Primates
NP_001128070.1,H2A,H2A.P_(Eutheria),,117,10116,Rattus norvegicus,,,367734,ENSRNOG00000089464,Rattus norvegicus,Rodentia
XP_003135058.1,H2A,H2A.P_(Eutheria),,113,9823,Sus scrofa,,,100525672,,Sus scrofa,Artiodactyla
NP_036406.1,H2A,H2A.P_(Homo_sapiens),,117,9606,Homo sapiens,,HGNC:18417,25763,,Homo sapiens,Primates
NP_080372.1,H2A,H2A.P_(Mus_musculus),,117,10090,Mus musculus,,,67334,ENSMUSG00000040456,Mus musculus,Rodentia
HISTDB_H2A_Q_2,H2A,H2A.Q_(Eutheria),,104,9899,Ammotragus lervia,,,,,Ammotragus lervia,Artiodactyla
XP_010950849.1,H2A,H2A.Q_(Eutheria),,105,9837,Camelus bactrianus,,,,,Camelus bactrianus,Artiodactyla
XP_010995375.1,H2A,H2A.Q_(Eutheria),,105,9838,Camelus dromedarius,,,105103477,,Camelus dromedarius,Artiodactyla
XP_013966888.1,H2A,H2A.Q_(Eutheria),,105,9615,Canis lupus familiaris,,,106558405,,Canis lupus familiaris,Carnivora
HISTDB_H2A_Q_7,H2A,H2A.Q_(Eutheria),,105,439328,Giraffa camelopardalis tippelskirchi,,,,,Giraffa tippelskirchi,Artiodactyla
HISTDB_H2A_Q_9,H2A,H2A.Q_(Eutheria),,105,86973,Okapia johnstoni,,,,,Okapia johnstoni,Artiodactyla
ELK02218.1,H2A,H2A.Q_(Eutheria),,104,9402,Pteropus alecto,,,,,Pteropus alecto,Chiroptera
XP_015107649.1,H2A,H2A.Q_(Eutheria),,105,30538,Vicugna pacos,,,107035107,,Vicugna pacos,Artiodactyla
